key,en,he,context,notes
fontmaker.glyphname.digit_3,Digit 3,,punct glyph name,glyph-name
fontmaker.glyphname.digit_4,Digit 4,,punct glyph name,glyph-name
fontmaker.glyphname.digit_5,Digit 5,,punct glyph name,glyph-name
fontmaker.glyphname.digit_6,Digit 6,,punct glyph name,glyph-name
fontmaker.glyphname.digit_7,Digit 7,,punct glyph name,glyph-name
fontmaker.glyphname.digit_8,Digit 8,,punct glyph name,glyph-name
fontmaker.glyphname.digit_9,Digit 9,,punct glyph name,glyph-name
fontmaker.glyphname.em_dash,Em Dash,,punct glyph name,glyph-name
fontmaker.glyphname.exclamation,Exclamation,,punct glyph name,glyph-name
fontmaker.glyphname.geresh,Geresh,,punct glyph name,glyph-name
fontmaker.glyphname.gershayim,Gershayim,,punct glyph name,glyph-name
fontmaker.glyphname.gimel,Gimel,,letter tile/label name,glyph-name
fontmaker.glyphname.hataf_patach,Hataf Patach,,nikkud mark name,glyph-name
fontmaker.glyphname.hataf_qamats,Hataf Qamats,,nikkud mark name,glyph-name
fontmaker.glyphname.hataf_segol,Hataf Segol,,nikkud mark name,glyph-name
fontmaker.glyphname.he,He,,letter tile/label name,glyph-name
fontmaker.glyphname.het,Het,,letter tile/label name,glyph-name
fontmaker.glyphname.hiriq,Hiriq,,nikkud mark name,glyph-name
fontmaker.glyphname.holam,Holam,,nikkud mark name,glyph-name
fontmaker.glyphname.holam_haser,Holam Haser,,nikkud mark name,glyph-name
fontmaker.glyphname.hyphen,Hyphen,,punct glyph name,glyph-name
fontmaker.glyphname.kaf,Kaf,,letter tile/label name,glyph-name
fontmaker.glyphname.kaf_sofit,Kaf sofit,,letter tile/label name,glyph-name
fontmaker.glyphname.lad_bet_rafe,Bet + rafe (בֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_dalet_rafe,Dalet + rafe (דֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_gimel_rafe,Gimel + rafe (גֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_pe_rafe,Pe + rafe (פֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_qof_rafe,Qof + rafe (קֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_shin,Shin (שׁ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_sin,Sin (שׂ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_tet_rafe,Tet + rafe (טֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lad_zayin_rafe,Zayin + rafe (זֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.lamed,Lamed,,letter tile/label name,glyph-name
fontmaker.glyphname.left_paren,Left Paren,,punct glyph name,glyph-name
fontmaker.glyphname.maqaf,Maqaf,,punct glyph name,glyph-name
fontmaker.glyphname.mem,Mem,,letter tile/label name,glyph-name
fontmaker.glyphname.mem_sofit,Mem sofit,,letter tile/label name,glyph-name
fontmaker.glyphname.nun,Nun,,letter tile/label name,glyph-name
fontmaker.glyphname.nun_sofit,Nun sofit,,letter tile/label name,glyph-name
fontmaker.glyphname.paseq,Paseq,,punct glyph name,glyph-name
fontmaker.glyphname.patach,Patach,,nikkud mark name,glyph-name
fontmaker.glyphname.pe,Pe,,letter tile/label name,glyph-name
fontmaker.glyphname.pe_sofit,Pe sofit,,letter tile/label name,glyph-name
fontmaker.glyphname.period,Period,,punct glyph name,glyph-name
fontmaker.glyphname.qamats,Qamats,,nikkud mark name,glyph-name
fontmaker.glyphname.qamats_qatan,Qamats Qatan,,nikkud mark name,glyph-name
fontmaker.glyphname.qof,Qof,,letter tile/label name,glyph-name
fontmaker.glyphname.qubuts,Qubuts,,nikkud mark name,glyph-name
fontmaker.glyphname.question,Question,,punct glyph name,glyph-name
fontmaker.glyphname.quote,Quote,,punct glyph name,glyph-name
fontmaker.glyphname.rafe,Rafe,,nikkud mark name,glyph-name
fontmaker.glyphname.resh,Resh,,letter tile/label name,glyph-name
fontmaker.glyphname.right_paren,Right Paren,,punct glyph name,glyph-name
fontmaker.glyphname.samekh,Samekh,,letter tile/label name,glyph-name
fontmaker.glyphname.segol,Segol,,nikkud mark name,glyph-name
fontmaker.glyphname.semicolon,Semicolon,,punct glyph name,glyph-name
fontmaker.glyphname.sheva,Sheva,,nikkud mark name,glyph-name
fontmaker.glyphname.shin,Shin,,letter tile/label name,glyph-name
fontmaker.glyphname.shin_dot,Shin dot,,nikkud mark name,glyph-name
fontmaker.glyphname.sin_dot,Sin dot,,nikkud mark name,glyph-name
fontmaker.glyphname.sof_pasuq,Sof Pasuq,,punct glyph name,glyph-name
fontmaker.glyphname.tav,Tav,,letter tile/label name,glyph-name
fontmaker.glyphname.tet,Tet,,letter tile/label name,glyph-name
fontmaker.glyphname.trop_atnah_hafukh,Atnah Hafukh,,trop mark name,glyph-name
fontmaker.glyphname.trop_darga,Darga,,trop mark name,glyph-name
fontmaker.glyphname.trop_dehi,Dehi,,trop mark name,glyph-name
fontmaker.glyphname.trop_etnahta,Etnahta,,trop mark name,glyph-name
fontmaker.glyphname.trop_geresh,Geresh,,trop mark name,glyph-name
fontmaker.glyphname.trop_geresh_muqdam,Geresh Muqdam,,trop mark name,glyph-name
fontmaker.glyphname.trop_gershayim,Gershayim,,trop mark name,glyph-name
fontmaker.glyphname.trop_iluy,Iluy,,trop mark name,glyph-name
fontmaker.glyphname.trop_mahapakh,Mahapakh,,trop mark name,glyph-name
fontmaker.glyphname.trop_merkha,Merkha,,trop mark name,glyph-name
fontmaker.glyphname.trop_merkha_kefula,Merkha Kefula,,trop mark name,glyph-name
fontmaker.glyphname.trop_meteg,Meteg,,trop mark name,glyph-name
fontmaker.glyphname.trop_munach,Munach,,trop mark name,glyph-name
fontmaker.glyphname.trop_ole,Ole,,trop mark name,glyph-name
fontmaker.glyphname.trop_pashta,Pashta,,trop mark name,glyph-name
fontmaker.glyphname.trop_pazer,Pazer,,trop mark name,glyph-name
fontmaker.glyphname.trop_qadma,Qadma,,trop mark name,glyph-name
fontmaker.glyphname.trop_qarney_para,Qarney Para,,trop mark name,glyph-name
fontmaker.glyphname.trop_revia,Revia,,trop mark name,glyph-name
fontmaker.glyphname.trop_segol,Segol,,trop mark name,glyph-name
fontmaker.glyphname.trop_shalshelet,Shalshelet,,trop mark name,glyph-name
fontmaker.glyphname.trop_telisha_gedola,Telisha Gedola,,trop mark name,glyph-name
fontmaker.glyphname.trop_telisha_qetana,Telisha Qetana,,trop mark name,glyph-name
fontmaker.glyphname.trop_tevir,Tevir,,trop mark name,glyph-name
fontmaker.glyphname.trop_tipeha,Tipeha,,trop mark name,glyph-name
fontmaker.glyphname.trop_yerah_ben_yomo,Yerah Ben Yomo,,trop mark name,glyph-name
fontmaker.glyphname.trop_yetiv,Yetiv,,trop mark name,glyph-name
fontmaker.glyphname.trop_zaqef_gadol,Zaqef Gadol,,trop mark name,glyph-name
fontmaker.glyphname.trop_zaqef_qatan,Zaqef Qatan,,trop mark name,glyph-name
fontmaker.glyphname.trop_zarqa,Zarqa,,trop mark name,glyph-name
fontmaker.glyphname.trop_zinor,Zinor,,trop mark name,glyph-name
fontmaker.glyphname.tsadi,Tsadi,,letter tile/label name,glyph-name
fontmaker.glyphname.tsadi_sofit,Tsadi sofit,,letter tile/label name,glyph-name
fontmaker.glyphname.tsere,Tsere,,nikkud mark name,glyph-name
fontmaker.glyphname.vav,Vav,,letter tile/label name,glyph-name
fontmaker.glyphname.wide_alef,Wide Alef,,composed form name,glyph-name
fontmaker.glyphname.wide_dalet,Wide Dalet,,composed form name,glyph-name
fontmaker.glyphname.wide_final_mem,Wide Final Mem,,composed form name,glyph-name
fontmaker.glyphname.wide_he,Wide He,,composed form name,glyph-name
fontmaker.glyphname.wide_kaf,Wide Kaf,,composed form name,glyph-name
fontmaker.glyphname.wide_lamed,Wide Lamed,,composed form name,glyph-name
fontmaker.glyphname.wide_resh,Wide Resh,,composed form name,glyph-name
fontmaker.glyphname.wide_tav,Wide Tav,,composed form name,glyph-name
fontmaker.glyphname.yid_fey,Fey (פֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.yid_khof,Khof (כֿ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.yid_komets_alef,Komets Alef (אָ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.yid_pasekh_alef,Pasekh Alef (אַ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.yid_tsvey_vovn,Tsvey Vovn (װ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
fontmaker.glyphname.yid_tsvey_yudn,Tsvey Yudn (ײ),,composed form name,glyph-name; mixed UI+content — do not translate {…}
