Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
אׇסְנַת,osnát,proper noun,"Asenath (an Egyptian woman whom Pharaoh gave to Joseph, son of Jacob, to be his wife, and who bore him two sons, Manasseh and Ephraim)",Biblical,
אׇסְנַת,osnát,proper noun,a female given name,,
אׇפְיָנִי,ofyaní,adjective,characteristic,,
אׇפְנָה,ofná,noun,"fashion, style",,
אׇפְקִי,ofkí,adjective,"horizontal, level",,
אׇפְקִיּוּת,ofkiyút,noun,horizontality,,
אבג יתץ קרע שׂטן נגד יכשׁ בטר צתג חקב טנע יגל פזק שׁקו צית,ʾbg jtṣ qrʿ śṭn ngd jkš bṭr ṣtg ḥqb ṭnʿ jgl pzq šqw ṣjt,proper noun,"A 42-lettered form of the Shem HaMephorash, esoteric names of God within Kabbalah. Appears in Ana BeKoach, Zohar Chadash, Tikuna Kadma'ah 62 among others.",,Judaism
אדה״ר,ADH״R,proper noun,Adam (first man),,
אהוואז,ahvaz,proper noun,"Ahvaz (a city in Iran, the seat of Ahvaz County's Central District and the capital of Khuzestan Province)",,
אוֹ,'o,conjunction,Either.,,
אוֹ,'o,conjunction,Or.,,
אוֹ,o,conjunction,or,Both,
אוֹב,ʾōv,noun,a waterskin,,
אוֹב,ʾōv,noun,a wineskin,,
אוֹב,ʾōv,noun,"ghost, spirit",,
אוֹב,ʾōv,noun,necromancer,,
אוֹב,ʾōv,noun,the practice of necromancy,,
אוֹבְּיֶקְט,obyékt,noun,object (thing),,
אוֹבְּיֶקְטִיבִי,obyektívi,adjective,Objective: factual; independent of the observer.,,
אוֹבְּיֶקְטִיבִי,obyektívi,adjective,"Objective: unbiased, impartial, neutral.",,
אוֹבֶרוֹל,overol,noun,overalls,,
אוֹבָּמָה,obáma,proper noun,"Obama, a surname",,
אוֹבָּמָה,obáma,proper noun,US President Barack Obama.,,
אוֹבָלִי,ováli,adjective,oval (having the shape of an oval),,
אוֹגֵר,ogér,noun,hamster,,
אוֹגֵר,ogér,noun,hoarder,,
אוֹגוּסְט,ogúst,proper noun,"August (the eighth month of the Roman, Julian, and Gregorian calendars, following July and preceding September)",,
אוֹד,od,proper noun,"Aude (a department of Occitania, France)",,
אוֹד,od,proper noun,"Aude (a river in the departments of Pyrénées-Orientales, Hérault, Aude and Ariège, Occitania, France)",,
אוֹדִישֶׁן,odíshen,noun,"An audition: a sample performance by an actor, musician, dancer, or other performing artist seeking a position or role.",,
אוֹהָיוֹ,Ohayo,proper noun,Ohio (a state of the United States),,
אוֹחַ,óakh,noun,eagle owl,,
אוֹחָיוֹן,okhayon,proper noun,a surname. Ohayon,,
אוֹטִיזְם,otízm,noun,autism,,
אוֹטָוָה,'otawa,proper noun,"Ottawa (a city in Ontario, Canada; the capital city of Canada)",,
אוֹטָוָה,'otawa,proper noun,"Ottawa (a river flowing southeast between Ontario and Quebec, Canada into the St. Lawrence River)",,
אוֹטוֹ,óto,noun,car,,colloquial
אוֹטוֹבִּיּוֹגְרַפְיָה,otobiográfya,noun,autobiography,,
אוֹטוֹבִּיוֹגְרַפִי,otobiográfi,adjective,Autobiographical: depicting the author's life.,,
אוֹטוֹבּוּס,ótobus,noun,a bus (vehicle),,
אוֹטוֹטוֹ,ototó,adverb,"Soon: quickly, in the near future.",,slang
אוֹטוֹנוֹמְיָה,otonómya,noun,"Autonomy, local autonomy: self-government, self-rule.",,
אוֹטוֹנוֹמְיָה,otonómya,noun,"Autonomy, personal autonomy: the freedom to act independently and without interference.",,
אוֹטוֹקְרַטְיָה,otokrátya,noun,autocracy (form of government),,
אוֹי,oy,interjection,"oh, alas, woe, oy",Biblical,
אוֹי וַאֲבוֹי,óy va'avóy,interjection,Oh no!,,
אוֹי וַאֲבוֹי,óy va'avóy,interjection,Woe is me!,,
אוֹי וַאֲבוֹי,óy va'avóy,interjection,an interjectional phrase used as a warning,,
אוֹיֵב,oyév,noun,enemy,,
אוֹכֵל נְבֵלוֹת,ochél nevelót,noun,scavenger (an animal that feeds on decaying matter such as carrion),,
אוֹכֵל צְמָחִים,okhél tsemakhím,noun,herbivore,,
אוֹלִיגַרְךְ,oligarkh,noun,oligarch (a member of an oligarchy),,rare
אוֹלִיגַרְךְ,oligarkh,noun,oligarch (very rich person),,
אוֹלִיגַרְכְיָה,oligárkhya,noun,oligarchy (government by only a few),,
אוֹלִיגַרְכְיָה,oligárkhya,noun,oligarchy (those who make up an oligarchic government),,
אוֹלִימְפִּי,olímpi,adjective,Olympic,,
אוֹמֵן,'omén,adjective,nanny; foster parent,,
אוֹמָה,omá,noun,caudal lobe (of the lung),,Mishnaic
אוֹן,on,noun,sexual potency,,
אוֹן,on,noun,"strength, power",,
אוֹנְטַרִיוֹ,ontario,proper noun,Ontario (a province in eastern Canada),,
אוֹנֵן,'onén,noun,"masturbator, onanist",,
אוֹנֵן,'onén,verb,to be lazy,,slang
אוֹנֵן,'onén,verb,to masturbate,,
אוֹנָן,'Onán,proper noun,Onan,Biblical,
אוֹנָנוּת,'onanút,noun,"onanism, masturbation",,
אוֹנָנוּת,'onanút,noun,sloppy work,,slang
אוֹסְטְרִי,ostrí,adjective,Austrian,,
אוֹסְטְרִי,ostrí,noun,a (male) Austrian,,
אוֹסְטְרִיָּה,óstriya,proper noun,Austria (a country in Central Europe),,
אוֹסְטְרִית,ostrit,noun,a (female) Austrian,,
אוֹסְטְרַלְיָה,ostrálya,proper noun,"Australia (a continent consisting of the land on the Australian tectonic plate, i.e. Australia, New Guinea and intervening islands)",,
אוֹסְטְרַלְיָה,ostrálya,proper noun,"Australia (a country consisting of a main island, the island of Tasmania and other smaller islands, located in Oceania; historically, a collection of former colonies of the British Empire)",,
אוֹסְטְרָלִי,ostráli,adjective,Australian,,
אוֹסְטְרָלִי,ostráli,noun,Australian,,
אוֹסְטְרָלִית,ostrálit,noun,Australian woman.,,
אוֹסְלוֹ,oslo,proper noun,"Oslo (a county and municipality, the capital city of Norway)",,
אוֹסָקָה,ósaka,proper noun,"Osaka, the capital city of Osaka Prefecture, Japan",,
אוֹסָקָה,ósaka,proper noun,"a prefecture on the island of Honshū, Japan",,
אוֹפְּטִימִי,optími,adjective,"Optimistic, hopeful.",,
אוֹפְּטִימִיזְם,optimízm,noun,optimism,,
אוֹפְּטִימָלִי,optimáli,adjective,Optimal: being the most favorable or the best.,,
אוֹפְּצִיָה,óptzia,noun,"An option: a choice, an alternative.",,
אוֹפְּצִיָה,óptzia,noun,"option (a contract giving the holder the right to buy or sell an asset at a set strike price; can apply to financial market transactions, or to ordinary transactions for tangible assets such as a residence or automobile)",,
אוֹפְטִי,'ópti,adjective,optic,,
אוֹפֵּרָה,ópera,noun,An opera: a musical theatrical performance whose plot is conveyed by singing.,,
אוֹפֶה,'ofé,noun,a (male) baker,,
אוֹפַן,'ofán,noun,A wheel (circular device on an axle).,,poetic
אוֹפַן,'ofán,noun,An angel of a particular kind.,,Judaism
אוֹפַן,'ofán,noun,Any of various poems added on red-letter days to the morning prayer service at the passage והאופנים….,,Judaism
אוֹפַנַּיִם,ofanáyim,noun,"bicycle, bike",,
אוֹפַנּוֹחַ,ofanóakh,noun,recumbent bicycle,,
אוֹפַנּוֹעַ,ofanóa',noun,"A motorcycle, motorbike: a single-track, two-wheeled motor vehicle.",,
אוֹפַנּוֹעָן,ofano'án,noun,A biker.,,
אוֹפָה,'ofá,noun,a (female) baker,,
אוֹפּוֹזִיצְיָה,opozítsya,noun,"Opposition: a person or group that opposes the beliefs, ideas, and ideals of another group.",,
אוֹפּוֹזִיצְיָה,opozítsya,noun,Opposition: a term for those parties that are not in the ruling coalition.,,
אוֹפּוֹסוּם,oposum,noun,opossum,,
אוֹצֵר,otsér,noun,"A curator (someone who manages a collection, as in a museum).",,
אוֹצָר,otsár,noun,A large quantity.,,
אוֹצָר,otsár,noun,A treasure (collection of valuables).,Biblical,
אוֹצָר,otsár,noun,A treasury (building or the like for the storage of valuables).,Biblical,archaic
אוֹצָר,otsár,noun,A treasury (the collection of a state's funds).,,
אוֹקְטָבָה,oktáva,noun,octave,,
אוֹקְטוֹבֶּר,október,proper noun,October,,
אוֹקְיָנוֹס,okyános,noun,ocean,,
אוֹקְיָנוֹס הַקֶּרַח הַצְּפוֹנִי,okyanós hakérakh hatsfoní,proper noun,the Arctic Ocean,,
אוֹקְסִיטַנְיָה,oksitánya,proper noun,"Occitania (a cultural region in southwestern Europe where Occitan has historically been spoken, consisting of southern France, parts of Catalonia in Spain, and some valleys in northwestern Italy)",,
אוֹקְסִיטַנְיָה,oksitánya,proper noun,Occitania (an administrative region in southern France),,
אוֹקֵי,okéy,interjection,"OK, okay",,
אוֹר,'ór,noun,fire,,
אוֹר,or,noun,light,Both,
אוֹר,'ór,noun,"light, light source",,
אוֹר,'ór,noun,"light, understanding",,
אוֹר,'ór,noun,"light, visible light: electromagnetic radiation of a frequency perceptible to the eye",,
אוֹר,'ór,noun,light: electromagnetic radiation (of any frequency),,
אוֹר,'ór,verb,"to shine, be illuminated",,
אוֹר יוֹם,'or yom,noun,daylight,,
אוֹר נִרְאָה,ór nir'á,noun,Visible light: light in the part of the electromagnetic spectrum that is visible to the human eye.,,
אוֹרְגַּזְמָה,orgázma,noun,orgasm (the peak of sexual pleasure),,
אוֹרְגָּנִי,orgáni,adjective,organic,,
אוֹרְגָּנִיזְם,organízm,noun,organism,,
אוֹרְגָּנִיזַצְיָה,organizatzyá,noun,an organisation,,
אוֹרְחָה,orkhá,noun,a caravan (convoy or procession),Biblical,
אוֹרְיָנוּת,oryanút,noun,"literacy, erudition",,
אוֹרְנִיתוֹלוֹגְיָה,ornitológya,noun,ornithology,,
אוֹרְתּוֹדוֹקְּסִי,ortodóksi,adjective,Orthodox: of or relating to Orthodox Christians or Orthodox Christianity.,,
אוֹרְתּוֹדוֹקְּסִי,ortodóksi,adjective,Orthodox: of or relating to Orthodox Jews or Orthodox Judaism.,,
אוֹרִי,orí,proper noun,"a male given name, Ori",,
אוֹרִיגָמִי,origámi,noun,origami (the Japanese art of paper folding),,
אוֹרִית,orít,noun,radium,,archaic
אוֹרִית,orít,proper noun,"a female given name, Orit",,
אוֹרֵז,orez,noun,a packer (a person whose business is to pack things),,
אוֹרֵחַ,oréakh,noun,"guest, visitor",,
אוֹרֶגָנוֹ,oregáno,noun,oregano (the leaves of these plants used in flavouring food),,
אוֹרֶגוֹן,óregon,proper noun,Oregon (a state in the Pacific Northwest region of the United States),,
אוֹרַנְז׳,óranzh,noun,"orange (the colour of a ripe fruit of an orange tree, midway between red and yellow)",,
אוֹרָה,orá,noun,light (electromagnetic wave),,
אוֹרָקֶל,órakel,noun,oracle,,
אוֹרוֹן,orón,proper noun,Uranus,,
אוֹרוֹן,orón,proper noun,a male given name,,rare
אוֹרוֹן,orón,proper noun,a surname,,
אוֹרפֶאוּס,orfeús,proper noun,Orpheus,,
אוֹת,ot,noun,"a sign, an omen",Biblical,
אוֹת,ot,noun,"a signal, a cue",,
אוֹת,ot,noun,letter (symbol),,
אוֹת,ot,noun,sign / letter (of alphabet),Both,
אוֹת דְּפוּס,ot d'fús,noun,"printed letter, printed character",,
אוֹת כְּתָב,ot k'táv,noun,cursive script,,
אוֹתְיוֹם,otyóm,adverb,immediately.,,
אוֹתִיּוֹת שֶׁל טַל וּ מָטָר,otiyót shel tál u-matár,noun,"small text, small print",,
אוֹתֵת,otét,verb,"to signal, to indicate",,
אוֹתֶנְטִי,oténti,adjective,Authentic.,,
אוֹתֶנְטִי,oténti,adjective,Historically accurate.,,
אוֹתָהּ,otáh,determiner,The same.,,
אוֹתוֹ,otó,determiner,The same.,,
אוּ,u,conjunction,or (rare variant),Biblical,poetic
אוּד,ud,noun,"a burning piece of wood, a firebrand, an ember",Biblical,
אוּד מֻצָּל מֵאֵשׁ,úd mutsál me'ésh,phrase,a survivor (especially of the Holocaust),,
אוּזְבֶּקִיסְטָן,uzbekistan,proper noun,Uzbekistan (a country in Central Asia),,
אוּזְבֶּקִית,Uzbekit,proper noun,Uzbek (the language of Uzbekistan),,
אוּטוֹפְּיָה,utopiya,noun,utopia (world in perfect harmony.),,
אוּלְטִימָטִיבִי,ultimatívi,adjective,"Ultimate: maximum, most extreme.",,
אוּלְטִימָטִיבִי,ultimatívi,adjective,"best, most fitting",,colloquial
אוּלַי,ulái,adverb,maybe,,
אוּלָם,ulám,conjunction,But.,,
אוּלָם,ulám,noun,"A hall: a large room, an arena, a salon.",,
אוּלָן בָּטוֹר,'ulan bator,proper noun,Ulaanbaatar (the capital city of Mongolia),,
אוּלוּרוּ,ulúru,proper noun,Uluru (a giant free-standing rock in central Australia),,
אוּנִיבֶרְסִיטָה,univérsita,noun,university,,
אוּנֶסכּ״וֹ,UNÉSKO,proper noun,"UNESCO: the United Nations Educational, Scientific and Cultural Organization.",,
אוּפָה,'Ufá,proper noun,"Ufa (the capital and largest city of Bashkortostan, Russia)",,
אוּץ,úts,verb,bare infinitive (infinitive construct or gerund) of אָץ (áts).,,
אוּקְלִידִי,uklídi,adjective,Euclidean,,
אוּקְרָאִינִית,ukra'ínit,proper noun,"Ukrainian (the East Slavic language of Ukrainians, and the official language of Ukraine)",,
אוּקְרָאִינָה,ukra'ína,proper noun,"Ukraine (a country in Eastern Europe, bordering on the north shore of the Black Sea)",,
אוּר,'ur,proper noun,Ur (an ancient city-state in Sumer),,
אוּר,ur,root,shone / gave light,Biblical,hollow root
אוּר כַּשְׂדִּים,'úr kasdím,proper noun,Ur of the Chaldees,,
אוּרִי,urí,proper noun,"a male given name, Uri",,
אוּרִיָּה,uriyá,proper noun,Uriah (the husband of Bathsheba whom David sent to death),,
אוּרִיָּה,uriyá,proper noun,"a male or female given name, equivalent to English Uriah",,
אוּרַנְיָה,uránya,noun,Urania,,
אוּרַנְיוּם,urányum,noun,uranium (the element with atomic number 92 and symbol U),,
אוּרָנוּס,uránus,proper noun,Uranus,,
אוּרוּגְוַאי,urugwáy,proper noun,Uruguay (a country in South America).,,
או־דה־פראנס,,proper noun,"Hauts-de-France (an administrative region of France, created in 2016 by the merger of Nord-Pas-de-Calais and Picardy)",,
אוברן־רון־אלפ,,proper noun,"Auvergne-Rhône-Alpes (an administrative region of France, created in 2016 by the merger of Auvergne and Rhône-Alpes)",,
אווירון,avirón,noun,T-pose,,
אווירון,avirón,noun,plane (an airplane; an aeroplane),,
אחמדאבאד,aḥmadābād,proper noun,"Ahmedabad (the largest city in Gujarat, India)",,
אחרי החגים,akharéi hakhagím,adverb,After a delay.,,
אחרי החגים,akharéi hakhagím,adverb,"Used other than figuratively or idiomatically: see אחרי, חגים: After the holidays.",,
איביזה,ibíza,noun,Ibiza (a city and municipality of Ibiza),,
איביזה,ibíza,noun,"Ibiza (an island of the Balearic Islands, Spain)",,
איך אומרים ... באנגלית,eikh omrim ... b'anglit?,phrase,how do you say...in English?,,
אילו,ílu,conjunction,"if, should, had",,
אימונוביולוגיה,imunobiológya,noun,immunobiology,,
אין מה לחפש,en má lekhapés,phrase,to have no business,,
אינטלקטואל,intelektu'ál,noun,An intellectual: a person of intellect.,,
אינשאללה,inshála,interjection,"God willing, with the help of God",,
אלבקרקי,,proper noun,Albuquerque,,
אםם,IMM,conjunction,"iff, if and only if",,
אממ,emm,interjection,"umm (Expression of hesitation, uncertainty or space filler in conversation)",,
אני מצטערת,ani mitstaeret,phrase,I'm sorry,,
אני צריך להזמין מונית,ani tsarikh lehazmin monit,phrase,I need a taxi,,
אני צריך מפה של העיר,aní tsaríkh mapá shel ha'ír m,phrase,I need a city map,,
אני צריכה להזמין מונית,aní tsrikhá lehazmín monít,phrase,I need a taxi,,
אני צריכה מפה של העיר,aní ts'rikhá mapá shel ha'ír f,phrase,I need a city map,,
אסמאעיל,ʔismāʕīl,proper noun,"Ismail, a major nabi of Islam.",,
אסמרה,asmara,proper noun,Asmara (the capital city of Eritrea),,
אעפ״כ,-,adverb,nevertheless,,
אפיה,apia,proper noun,Apia (the capital city of Samoa),,
אקיטן,akitén,proper noun,"Aquitaine (a former administrative region of France, now part of Nouvelle-Aquitaine)",,
אקיטן החדשה,,proper noun,"Nouvelle-Aquitaine (an administrative region in southwestern France, established in 2016 by the merger of Aquitaine, Limousin, and Poitou-Charentes)",,
ארבייטמן,arbeytmán,proper noun,a surname; Arbeitman,,
ארבע מאות,arbá-me'ót,numeral,four hundred (400),,
ארה״ב,"arhá""v",proper noun,syllabic abbreviation of אַרְצוֹת הַבְּרִית (ar'tsót hab'rít) (= United States): a country in North America: US,,
ארס,,proper noun,Ares,,
אשגבאט,ashgabat,proper noun,Ashgabat (the capital and largest city of Turkmenistan),,
אש״ל,'.Sh.L,noun,"a per diem: originally an abbreviation of אכילה, שתיה, לינה (literally “food, drink, lodging”)",,
